player,sg_app
Scottie Scheffler,1.207
Collin Morikawa,1.135
Jon Rahm,1.062
Tom Hoge,0.952
Tony Finau,0.9
Xander Schauffele,0.888
Rickie Fowler,0.752
Sepp Straka,0.7
Ben Martin,0.668
Viktor Hovland,0.661
Gary Woodland,0.658
Max Homa,0.655
Justin Rose,0.648
Tom Kim,0.633
Shane Lowry,0.629
Russell Knox,0.625
Tyrrell Hatton,0.621
Mark Hubbard,0.605
Rory McIlroy,0.598
Davis Riley,0.584
Si Woo Kim,0.575
Corey Conners,0.549
Wyndham Clark,0.548
Danny Lee,0.512
Jason Day,0.498
Kevin Yu,0.486
Patrick Cantlay,0.483
Jordan Spieth,0.462
Kevin Roy,0.455
Hideki Matsuyama,0.45
Chris Stroud,0.45
Andrew Putnam,0.447
Nick Taylor,0.433
Ryan Gerard,0.431
Ryan Moore,0.43
Justin Thomas,0.428
Akshay Bhatia,0.421
Cameron Young,0.407
Tommy Fleetwood,0.4
Charley Hoffman,0.4
Dylan Wu,0.4
Joseph Bramlett,0.395
Aaron Rai,0.39
Kurt Kitayama,0.388
Nick Hardy,0.385
Luke List,0.384
Sam Ryder,0.383
Chesson Hadley,0.371
Emiliano Grillo,0.357
Adam Hadwin,0.35
Luke Donald,0.336
Nate Lashley,0.328
Will Gordon,0.313
Ryan Palmer,0.308
Eric Cole,0.298
Keegan Bradley,0.287
Scott Piercy,0.269
David Lipsky,0.262
Chris Kirk,0.259
Russell Henley,0.257
Lucas Glover,0.253
Adam Svensson,0.241
Alex Smalley,0.236
Michael Kim,0.229
Robby Shelton,0.212
Matt NeSmith,0.205
Erik van Rooyen,0.199
Matt Wallace,0.198
Webb Simpson,0.193
Sungjae Im,0.182
Sahith Theegala,0.166
Stephan Jaeger,0.156
K.H. Lee,0.156
Brendon Todd,0.141
Chez Reavie,0.14
Christiaan Bezuidenhout,0.137
Andrew Novak,0.137
Matt Kuchar,0.136
Lee Hodges,0.13
Erik Barnes,0.126
Jason Dufner,0.112
Sam Stevens,0.111
Byeong Hun An,0.106
James Hahn,0.102
J.J. Spaun,0.101
Adam Schenk,0.099
J.T. Poston,0.095
Cam Davis,0.093
Thomas Detry,0.081
Carson Young,0.074
Joel Dahmen,0.07
Harris English,0.067
Kevin Chappell,0.06
Denny McCarthy,0.06
Greyson Sigg,0.057
Hayden Buckley,0.054
Hank Lebioda,0.054
Callum Tarren,0.038
Aaron Baddeley,0.025
Augusto Núñez,0.025
Austin Eckroat,0.022
Doug Ghim,0.022
Ryan Armour,0.019
Taylor Moore,0.018
Trey Mullinax,0.013
Sean O'Hair,0.011
Matt Fitzpatrick,0.008
Francesco Molinari,0.006
Matti Schmid,0.001
Ben Taylor,-0.005
Ben Griffin,-0.009
Brandon Wu,-0.009
Justin Suh,-0.016
Alex Noren,-0.023
Danny Willett,-0.029
Kevin Streelman,-0.035
Patton Kizzire,-0.066
Kramer Hickok,-0.072
Vincent Norrman,-0.075
David Lingmerth,-0.076
Patrick Rodgers,-0.093
MJ Daffue,-0.094
Zac Blair,-0.102
Jimmy Walker,-0.103
Austin Cook,-0.105
Justin Lower,-0.115
Austin Smotherman,-0.118
Adam Scott,-0.124
Stewart Cink,-0.133
Kevin Tway,-0.134
Cody Gribble,-0.136
Carl Yuan,-0.138
Tyler Duncan,-0.139
Henrik Norlander,-0.147
Mackenzie Hughes,-0.149
Peter Malnati,-0.153
Billy Horschel,-0.162
Nick Watney,-0.162
Michael Thompson,-0.165
Keith Mitchell,-0.166
Cameron Percy,-0.172
Doc Redman,-0.175
Martin Laird,-0.185
Brian Harman,-0.189
Sung Kang,-0.195
Taylor Pendrith,-0.208
Brandon Matthews,-0.219
Zecheng Dou,-0.221
Garrick Higgo,-0.248
Sam Burns,-0.254
Brice Garnett,-0.255
Seamus Power,-0.258
Maverick McNealy,-0.282
Davis Thompson,-0.282
Kyle Stanley,-0.3
Troy Merritt,-0.329
Zach Johnson,-0.33
William McGirt,-0.346
Cameron Champ,-0.36
Martin Trainer,-0.364
Scott Harrington,-0.367
Dean Burmester,-0.371
S.Y. Noh,-0.371
Harrison Endycott,-0.373
Brian Stuard,-0.374
Kyle Westmoreland,-0.377
Harry Hall,-0.39
Scott Stallings,-0.399
Robert Streb,-0.409
S.H. Kim,-0.41
Matthias Schwab,-0.41
Dylan Frittelli,-0.413
Paul Haley II,-0.426
Tano Goya,-0.458
Chad Ramey,-0.483
Jim Herman,-0.487
Taylor Montgomery,-0.489
Michael Gligic,-0.51
Tyson Alexander,-0.526
Jonathan Byrd,-0.531
Nico Echavarria,-0.539
Adam Long,-0.539
Beau Hossler,-0.546
Brent Grant,-0.592
Ryan Brehm,-0.593
Trevor Cone,-0.597
Richy Werenski,-0.676
Lucas Herbert,-0.681
Aaron Wise,-0.795
Scott Brown,-0.796
Trevor Werbylo,-0.812
Kevin Kisner,-0.82
Kelly Kraft,-0.917
Harry Higgs,-1.051
Rory Sabbatini,-1.084
Bill Haas,-1.096
Andrew Landry,-1.173
Max McGreevy,-1.175
