player,sg_arg
Jonathan Byrd,0.579
Aaron Baddeley,0.534
Byeong Hun An,0.522
Matt Kuchar,0.498
Brendon Todd,0.497
Tommy Fleetwood,0.458
Scottie Scheffler,0.458
Hideki Matsuyama,0.438
Justin Thomas,0.436
Alex Noren,0.431
Chris Kirk,0.424
Stephan Jaeger,0.42
Beau Hossler,0.386
Matt Wallace,0.383
Rory McIlroy,0.362
Robby Shelton,0.36
Ben Griffin,0.358
Harry Hall,0.341
Mackenzie Hughes,0.335
Sungjae Im,0.323
Zac Blair,0.319
Eric Cole,0.314
Peter Malnati,0.311
Brian Stuard,0.289
Jason Day,0.285
Harris English,0.285
Harry Higgs,0.282
Nick Taylor,0.271
Sean O'Hair,0.266
Taylor Montgomery,0.256
Max Homa,0.254
Justin Rose,0.254
Tony Finau,0.253
K.H. Lee,0.253
Rickie Fowler,0.244
Matt Fitzpatrick,0.242
Austin Cook,0.236
Aaron Wise,0.228
Christiaan Bezuidenhout,0.221
Andrew Novak,0.221
Patrick Rodgers,0.221
Danny Willett,0.211
Mark Hubbard,0.206
Adam Scott,0.201
Dean Burmester,0.199
Matthias Schwab,0.199
William McGirt,0.197
Joseph Bramlett,0.195
Russell Henley,0.194
Sahith Theegala,0.194
Jimmy Walker,0.192
Jordan Spieth,0.191
J.J. Spaun,0.18
David Lipsky,0.171
Seamus Power,0.166
Si Woo Kim,0.162
Tyrrell Hatton,0.155
Maverick McNealy,0.154
Tano Goya,0.15
Xander Schauffele,0.148
Wyndham Clark,0.147
Scott Stallings,0.147
Joel Dahmen,0.144
S.H. Kim,0.143
Aaron Rai,0.136
Kevin Streelman,0.136
Jon Rahm,0.134
Doug Ghim,0.133
Luke Donald,0.132
Tyson Alexander,0.128
Henrik Norlander,0.125
Jason Dufner,0.124
Andrew Putnam,0.115
Brice Garnett,0.114
Greyson Sigg,0.113
Charley Hoffman,0.112
Adam Schenk,0.106
Adam Hadwin,0.103
Tom Kim,0.099
Adam Long,0.094
Paul Haley II,0.091
Thomas Detry,0.09
Rory Sabbatini,0.09
Kevin Chappell,0.087
Adam Svensson,0.081
Denny McCarthy,0.072
Vincent Norrman,0.07
Trevor Werbylo,0.066
Bill Haas,0.065
Robert Streb,0.063
Augusto Núñez,0.062
Brandon Wu,0.062
Patrick Cantlay,0.056
Alex Smalley,0.056
Scott Piercy,0.053
Erik Barnes,0.052
Nate Lashley,0.049
Max McGreevy,0.049
Billy Horschel,0.044
Sam Burns,0.043
Kurt Kitayama,0.04
Cam Davis,0.039
Keegan Bradley,0.031
Harrison Endycott,0.025
Dylan Wu,0.023
Davis Thompson,0.015
Matt NeSmith,0.008
Garrick Higgo,-0.002
Scott Brown,-0.003
Collin Morikawa,-0.007
Kevin Yu,-0.007
Zecheng Dou,-0.013
Michael Kim,-0.016
Patton Kizzire,-0.016
Taylor Moore,-0.022
Andrew Landry,-0.024
Michael Thompson,-0.026
Shane Lowry,-0.031
Austin Eckroat,-0.033
Dylan Frittelli,-0.033
Martin Laird,-0.036
Ben Taylor,-0.037
Lucas Glover,-0.039
Stewart Cink,-0.041
Corey Conners,-0.041
Kramer Hickok,-0.043
Troy Merritt,-0.043
Brian Harman,-0.044
David Lingmerth,-0.052
Trey Mullinax,-0.055
Sam Stevens,-0.072
Keith Mitchell,-0.078
Chad Ramey,-0.085
Kevin Roy,-0.085
Viktor Hovland,-0.089
J.T. Poston,-0.095
Cameron Young,-0.095
Russell Knox,-0.097
Kyle Westmoreland,-0.1
Chris Stroud,-0.103
Zach Johnson,-0.106
Richy Werenski,-0.108
Cody Gribble,-0.13
Cameron Percy,-0.131
Sung Kang,-0.142
Taylor Pendrith,-0.145
Ryan Palmer,-0.151
Lee Hodges,-0.156
Sam Ryder,-0.162
Jim Herman,-0.174
Sepp Straka,-0.184
Ryan Moore,-0.185
Ryan Gerard,-0.186
Kevin Tway,-0.19
Scott Harrington,-0.2
James Hahn,-0.201
Ryan Armour,-0.202
Austin Smotherman,-0.202
Webb Simpson,-0.207
S.Y. Noh,-0.214
Carl Yuan,-0.215
Tom Hoge,-0.22
Francesco Molinari,-0.22
Martin Trainer,-0.227
Emiliano Grillo,-0.228
Akshay Bhatia,-0.243
Luke List,-0.251
Nick Watney,-0.255
Chez Reavie,-0.269
Justin Lower,-0.273
MJ Daffue,-0.285
Nico Echavarria,-0.295
Kyle Stanley,-0.296
Kevin Kisner,-0.3
Davis Riley,-0.321
Lucas Herbert,-0.332
Carson Young,-0.34
Nick Hardy,-0.357
Gary Woodland,-0.362
Trevor Cone,-0.383
Will Gordon,-0.384
Erik van Rooyen,-0.391
Ben Martin,-0.408
Justin Suh,-0.409
Kelly Kraft,-0.415
Callum Tarren,-0.419
Danny Lee,-0.434
Hayden Buckley,-0.465
Brent Grant,-0.504
Michael Gligic,-0.508
Doc Redman,-0.509
Tyler Duncan,-0.523
Hank Lebioda,-0.543
Ryan Brehm,-0.558
Chesson Hadley,-0.571
Matti Schmid,-0.575
Cameron Champ,-0.783
Brandon Matthews,-1.05
