player,sg_putt
Maverick McNealy,1.058
Taylor Montgomery,0.999
Sam Ryder,0.787
Denny McCarthy,0.749
Max Homa,0.741
Harry Hall,0.703
Tyrrell Hatton,0.698
Ben Taylor,0.658
Andrew Putnam,0.649
Sam Burns,0.623
Justin Suh,0.593
Xander Schauffele,0.577
Justin Lower,0.571
Aaron Wise,0.559
Jason Day,0.538
Tommy Fleetwood,0.518
S.Y. Noh,0.506
Taylor Moore,0.503
Jon Rahm,0.492
Eric Cole,0.472
Alex Noren,0.461
Justin Rose,0.456
Matt Fitzpatrick,0.437
Sahith Theegala,0.437
Seamus Power,0.436
Brendon Todd,0.434
Andrew Novak,0.43
Harris English,0.425
Peter Malnati,0.416
Adam Svensson,0.412
Nick Taylor,0.41
Adam Long,0.406
Luke Donald,0.403
Sung Kang,0.4
Matt Kuchar,0.397
Patrick Cantlay,0.392
William McGirt,0.386
Adam Scott,0.378
Chad Ramey,0.373
Richy Werenski,0.372
S.H. Kim,0.365
Adam Hadwin,0.356
Adam Schenk,0.355
Aaron Baddeley,0.351
Brice Garnett,0.347
Jimmy Walker,0.346
Keegan Bradley,0.342
Harry Higgs,0.314
Wyndham Clark,0.292
Mackenzie Hughes,0.29
Rickie Fowler,0.281
Cameron Percy,0.278
Thomas Detry,0.261
Ben Griffin,0.241
Kelly Kraft,0.24
Rory Sabbatini,0.237
Billy Horschel,0.225
Chris Kirk,0.219
Ryan Brehm,0.215
Sepp Straka,0.215
Sungjae Im,0.212
Christiaan Bezuidenhout,0.197
Patrick Rodgers,0.193
Michael Thompson,0.186
Chesson Hadley,0.182
Danny Willett,0.179
Harrison Endycott,0.176
Brian Harman,0.176
Carson Young,0.162
Kurt Kitayama,0.157
Viktor Hovland,0.146
Beau Hossler,0.137
Kevin Tway,0.129
Paul Haley II,0.127
Nate Lashley,0.124
Jordan Spieth,0.124
Keith Mitchell,0.122
Austin Eckroat,0.114
Brian Stuard,0.114
Tony Finau,0.106
Nico Echavarria,0.102
Cody Gribble,0.083
Matti Schmid,0.081
Dylan Frittelli,0.075
Hideki Matsuyama,0.072
Hayden Buckley,0.069
Scott Piercy,0.059
K.H. Lee,0.051
Trevor Cone,0.05
Tom Hoge,0.046
Brandon Wu,0.043
Kevin Streelman,0.041
Trevor Werbylo,0.04
Doc Redman,0.038
Robby Shelton,0.032
Zach Johnson,0.029
Austin Smotherman,0.029
Erik Barnes,0.026
Ben Martin,0.026
Dylan Wu,0.022
Taylor Pendrith,0.014
Francesco Molinari,0.007
Patton Kizzire,0.005
David Lingmerth,0.001
Matt NeSmith,-0.003
Michael Kim,-0.006
Mark Hubbard,-0.014
Emiliano Grillo,-0.015
Greyson Sigg,-0.015
Chez Reavie,-0.023
Martin Trainer,-0.031
Will Gordon,-0.033
Rory McIlroy,-0.048
J.T. Poston,-0.048
Stephan Jaeger,-0.049
Lee Hodges,-0.054
Si Woo Kim,-0.067
Martin Laird,-0.068
Lucas Herbert,-0.072
Ryan Moore,-0.075
Corey Conners,-0.085
Zac Blair,-0.092
Carl Yuan,-0.092
Tyson Alexander,-0.099
Nick Watney,-0.103
Sean O'Hair,-0.106
J.J. Spaun,-0.111
Danny Lee,-0.119
Callum Tarren,-0.121
Kevin Kisner,-0.13
Hank Lebioda,-0.13
Matt Wallace,-0.152
Webb Simpson,-0.162
Sam Stevens,-0.164
Kevin Chappell,-0.169
Stewart Cink,-0.172
Bill Haas,-0.181
Ryan Armour,-0.183
Andrew Landry,-0.184
Chris Stroud,-0.188
Justin Thomas,-0.203
Jonathan Byrd,-0.218
Garrick Higgo,-0.219
Collin Morikawa,-0.219
Tom Kim,-0.222
Matthias Schwab,-0.225
Doug Ghim,-0.226
Scottie Scheffler,-0.231
Davis Riley,-0.233
Joseph Bramlett,-0.243
Scott Stallings,-0.245
Tano Goya,-0.258
Alex Smalley,-0.261
Austin Cook,-0.268
Cam Davis,-0.277
Byeong Hun An,-0.286
Erik van Rooyen,-0.299
James Hahn,-0.311
Cameron Champ,-0.338
Nick Hardy,-0.34
Tyler Duncan,-0.349
Kramer Hickok,-0.355
Russell Henley,-0.356
Michael Gligic,-0.363
Vincent Norrman,-0.368
Davis Thompson,-0.368
MJ Daffue,-0.38
Ryan Palmer,-0.385
Aaron Rai,-0.391
Dean Burmester,-0.392
Kyle Westmoreland,-0.397
Trey Mullinax,-0.405
Shane Lowry,-0.408
Augusto Núñez,-0.415
Russell Knox,-0.417
Troy Merritt,-0.432
Jim Herman,-0.445
Akshay Bhatia,-0.509
Kevin Roy,-0.531
Joel Dahmen,-0.539
Zecheng Dou,-0.544
Ryan Gerard,-0.553
Henrik Norlander,-0.559
Kevin Yu,-0.574
David Lipsky,-0.602
Cameron Young,-0.614
Gary Woodland,-0.627
Scott Harrington,-0.674
Max McGreevy,-0.674
Scott Brown,-0.686
Robert Streb,-0.76
Brent Grant,-0.771
Brandon Matthews,-0.774
Lucas Glover,-0.783
Charley Hoffman,-0.822
Jason Dufner,-0.9
Luke List,-1.01
Kyle Stanley,-1.253
