player,sg_total
Scottie Scheffler,2.544
Jon Rahm,2.338
Tyrrell Hatton,2.163
Xander Schauffele,1.971
Patrick Cantlay,1.954
Tommy Fleetwood,1.84
Max Homa,1.82
Rory McIlroy,1.793
Tony Finau,1.755
Jason Day,1.747
Rickie Fowler,1.53
Justin Rose,1.475
Viktor Hovland,1.443
Collin Morikawa,1.355
Wyndham Clark,1.231
Sungjae Im,1.223
Matt Fitzpatrick,1.155
Nick Taylor,1.15
Si Woo Kim,1.104
Jordan Spieth,1.076
Hideki Matsuyama,1.064
Matt Kuchar,1.021
Denny McCarthy,1.014
Corey Conners,0.961
Eric Cole,0.956
Justin Thomas,0.932
Chris Kirk,0.897
Keegan Bradley,0.879
Adam Scott,0.836
Andrew Putnam,0.832
Adam Hadwin,0.825
Kevin Yu,0.817
Patrick Rodgers,0.777
Tom Kim,0.756
Sam Burns,0.741
Taylor Montgomery,0.737
Stephan Jaeger,0.722
Taylor Moore,0.722
Byeong Hun An,0.702
Andrew Novak,0.698
Mark Hubbard,0.695
Brendon Todd,0.686
Adam Svensson,0.682
Shane Lowry,0.664
Sepp Straka,0.63
Adam Schenk,0.625
Sahith Theegala,0.617
Joseph Bramlett,0.615
Ben Griffin,0.612
K.H. Lee,0.601
Tom Hoge,0.589
Keith Mitchell,0.569
Dylan Wu,0.544
S.H. Kim,0.531
Austin Eckroat,0.524
Aaron Rai,0.491
Sam Ryder,0.475
Ben Taylor,0.469
Hayden Buckley,0.441
Harry Hall,0.44
Thomas Detry,0.433
Emiliano Grillo,0.43
Kurt Kitayama,0.427
J.J. Spaun,0.409
Alex Noren,0.408
Aaron Baddeley,0.404
Harris English,0.397
Nate Lashley,0.385
Sam Stevens,0.384
Cam Davis,0.382
Alex Smalley,0.376
Brian Harman,0.375
Will Gordon,0.374
Erik Barnes,0.352
Lee Hodges,0.327
Gary Woodland,0.327
Russell Henley,0.316
Maverick McNealy,0.316
Michael Kim,0.305
Seamus Power,0.302
Brandon Wu,0.294
Cameron Percy,0.291
Robby Shelton,0.29
Christiaan Bezuidenhout,0.281
Danny Willett,0.261
Scott Piercy,0.253
Ben Martin,0.251
Cameron Young,0.248
Beau Hossler,0.23
Matt NeSmith,0.23
Mackenzie Hughes,0.214
Kevin Chappell,0.202
Greyson Sigg,0.191
Jimmy Walker,0.188
Justin Suh,0.174
Kevin Streelman,0.161
Michael Thompson,0.131
Ryan Palmer,0.096
Sean O'Hair,0.069
Carson Young,0.052
Akshay Bhatia,0.038
Brice Garnett,0.038
Dean Burmester,0.037
J.T. Poston,0.026
Garrick Higgo,-0.011
Vincent Norrman,-0.012
Chris Stroud,-0.03
Doug Ghim,-0.037
Joel Dahmen,-0.042
Matt Wallace,-0.065
Cody Gribble,-0.085
Luke Donald,-0.088
Taylor Pendrith,-0.105
Ryan Moore,-0.115
Justin Lower,-0.116
Aaron Wise,-0.138
William McGirt,-0.165
Davis Thompson,-0.179
Nick Hardy,-0.181
James Hahn,-0.189
Chesson Hadley,-0.195
Ryan Gerard,-0.203
Zac Blair,-0.214
Davis Riley,-0.22
Kevin Tway,-0.221
Carl Yuan,-0.224
Harrison Endycott,-0.234
Danny Lee,-0.239
Patton Kizzire,-0.24
David Lipsky,-0.256
Luke List,-0.264
Adam Long,-0.264
Augusto Núñez,-0.27
Jonathan Byrd,-0.275
Kramer Hickok,-0.288
Charley Hoffman,-0.3
Peter Malnati,-0.307
Kevin Roy,-0.328
Austin Smotherman,-0.366
Chez Reavie,-0.371
Trevor Cone,-0.415
Billy Horschel,-0.424
Scott Stallings,-0.425
Francesco Molinari,-0.431
Lucas Glover,-0.441
Tano Goya,-0.443
Ryan Armour,-0.452
MJ Daffue,-0.467
Matti Schmid,-0.471
Chad Ramey,-0.492
Callum Tarren,-0.515
Sung Kang,-0.535
Stewart Cink,-0.545
Paul Haley II,-0.551
Webb Simpson,-0.583
Trey Mullinax,-0.585
David Lingmerth,-0.634
Martin Laird,-0.635
Doc Redman,-0.65
Richy Werenski,-0.659
Zecheng Dou,-0.686
S.Y. Noh,-0.711
Russell Knox,-0.718
Zach Johnson,-0.723
Tyler Duncan,-0.729
Kyle Westmoreland,-0.737
Henrik Norlander,-0.769
Austin Cook,-0.775
Erik van Rooyen,-0.787
Cameron Champ,-0.856
Lucas Herbert,-0.863
Trevor Werbylo,-0.869
Nico Echavarria,-0.924
Tyson Alexander,-0.935
Matthias Schwab,-0.955
Dylan Frittelli,-1.009
Brian Stuard,-1.01
Jason Dufner,-1.086
Martin Trainer,-1.095
Troy Merritt,-1.098
Harry Higgs,-1.115
Jim Herman,-1.146
Scott Harrington,-1.165
Robert Streb,-1.184
Bill Haas,-1.202
Hank Lebioda,-1.22
Michael Gligic,-1.222
Brent Grant,-1.29
Ryan Brehm,-1.331
Kelly Kraft,-1.476
Andrew Landry,-1.498
Scott Brown,-1.539
Rory Sabbatini,-1.661
Brandon Matthews,-1.799
Kyle Stanley,-1.869
Nick Watney,-1.991
Kevin Kisner,-2.261
Max McGreevy,-2.441
