player id,season,sg_putt,sg_arg,sg_app,sg_ott,finish2
5548,2022,1.3,0.8,0.54,0.21,7
3832,2022,-1.42,0.73,0.87,-0.81,78
5502,2022,1.43,0.6,-0.48,-0.45,31
10372,2022,0.66,0.65,0.14,0.14,24
388,2022,0.54,0.79,1.2,-0.43,14
10577,2022,0.09,1.08,-0.34,0.53,27
4383,2022,0.31,-0.78,-0.31,0.66,78
1225,2022,0.58,-0.63,0.37,0.28,43
4780,2022,-0.39,-0.01,0.37,-1.1,78
1651,2022,-0.3,0.36,0.07,0.24,78
6011,2022,-0.07,0.77,-0.74,-0.1,53
6798,2022,0.24,-1.06,-0.43,0.84,55
8910,2022,1.56,-0.63,-0.69,-0.36,78
3599,2022,0.26,-0.55,0.41,-0.25,78
9126,2022,-1.69,-0.45,1.27,1.25,78
5724,2022,0.14,0.5,-1.23,0.47,78
10592,2022,1.24,0.45,1.13,0.28,5
8975,2022,-1.42,-1.14,0.74,-0.3,78
9131,2022,0.2,-0.69,-0.18,0.06,78
4645,2022,1.83,0.15,-0.16,0.27,14
4425906,2022,1.42,-2,0.33,0.63,78
9025,2022,-0.79,0.05,0.21,0.41,78
3448,2022,-0.13,0.13,0.93,0.68,24
3950,2022,-2.56,-0.56,0.01,-0.01,78
5574,2022,1.18,0.58,-1.33,-0.33,49
10054,2022,1.69,-0.01,0.96,0.2,7
10058,2022,0.15,-0.49,1.68,-0.24,31
1483,2022,0.73,0.04,-1.23,-0.16,78
9474,2022,1.67,-0.15,0.69,-0.1,14
5462,2022,-0.78,-1.01,-0.96,0.85,63
3550,2022,0.01,0.73,0.65,1.21,10
4364752,2022,0.07,0.74,0.96,0.33,14
5408,2022,-1.6,0.18,0.38,-0.61,61
5860,2022,0.94,0.3,2.3,-0.19,4
6991,2022,-0.8,-0.3,0.99,-0.01,78
3856,2022,1.05,-1.07,0.14,-1.24,78
5902,2022,-2.43,1,1.92,0.35,37
6196,2022,-0.04,0.06,2,0.59,10
153,2022,2.68,0.06,0.61,-2.97,78
4602673,2022,1.1,1.03,-0.41,0.13,23
3317,2022,-0.81,1.63,-1.02,0.58,78
11099,2022,-0.73,-0.2,0.9,0.38,47
9780,2022,0.85,0.08,0.35,1.07,12
569,2022,0.26,0.33,0.45,-0.18,37
